Material,Región,Primarias (MeV),Secundarias (MeV),Total (MeV),Primarias %,Secundarias %,Media Primarias,Media Secundarias
Lung MIRD,3-4 mm,5.27e+06,1.20e+04,5.29e+06,99.77,0.23,2.64e+05,5.98e+02
Lung MIRD,4-5 mm,4.50e+06,1.02e+04,4.51e+06,99.77,0.23,1.87e+05,4.23e+02
Lung MIRD,5-6 mm,5.36e+06,1.21e+04,5.38e+06,99.78,0.22,1.34e+05,3.02e+02
Lung MIRD,6-7 mm,3.67e+06,8.26e+03,3.68e+06,99.78,0.22,1.02e+05,2.29e+02
Lung MIRD,7-8 mm,3.85e+06,8.66e+03,3.86e+06,99.78,0.22,8.01e+04,1.80e+02
Lung MIRD,8-9 mm,3.58e+06,8.07e+03,3.59e+06,99.78,0.22,6.39e+04,1.44e+02
Lung MIRD,9-10 mm,2.92e+06,6.58e+03,2.93e+06,99.78,0.22,5.21e+04,1.17e+02
Lung MIRD,10-11 mm,2.96e+06,6.69e+03,2.97e+06,99.77,0.23,4.36e+04,9.84e+01
Lung MIRD,11-12 mm,2.38e+06,5.39e+03,2.38e+06,99.77,0.23,3.72e+04,8.43e+01
Lung MIRD,12-13 mm,2.53e+06,5.70e+03,2.53e+06,99.77,0.23,3.16e+04,7.13e+01
Lung MIRD,13-14 mm,2.49e+06,5.62e+03,2.50e+06,99.78,0.22,2.71e+04,6.11e+01
Lung MIRD,14-15 mm,2.07e+06,4.68e+03,2.07e+06,99.77,0.23,2.35e+04,5.32e+01
Lung MIRD,15-16 mm,2.00e+06,4.51e+03,2.00e+06,99.77,0.23,2.08e+04,4.70e+01
Lung MIRD,16-17 mm,1.77e+06,3.99e+03,1.77e+06,99.77,0.23,1.84e+04,4.15e+01
Lung MIRD,17-18 mm,1.91e+06,4.32e+03,1.92e+06,99.77,0.23,1.65e+04,3.73e+01
Lung MIRD,18-19 mm,1.75e+06,3.98e+03,1.76e+06,99.77,0.23,1.46e+04,3.32e+01
